 Q-TABLE ,TURN_L_22_5,TURN_L_11_25,TURN_L_5_6,TURN_L_2_8,TURN_C,TURN_R_2_8,TURN_R_5_6,TURN_R_11_25,TURN_R_22_5,
STATE_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
STATE_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
STATE_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
STATE_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
STATE_4,0.0,-0.17,0.0,0.0,-0.17,0.0,0.0,0.0,0.0,
STATE_5,0.0,0.0,-0.17,0.0,0.0,0.0,0.0,0.0,-0.17,
STATE_6,0.0,-0.17,0.0,-0.17,0.0,-0.17,0.0,-0.17,-0.17,
STATE_7,0.0,0.0,0.0,0.0,0.0,-0.17,0.0,-0.17051153,0.0,
STATE_8,0.0,0.0,0.0,0.0,-0.17,0.0,-0.17,-0.17,1.04E-8,
STATE_9,0.0,0.0,0.0,0.0,0.034698261,0.0,0.0,0.0,0.0,
STATE_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
STATE_11,0.0,0.0,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,
STATE_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
STATE_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
STATE_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
STATE_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
STATE_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
STATE_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
STATE_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
